<h1>WSG Sections and Guidelines and Success criteria</h1>
Title,Link,Impact,Effort,Description,Status,Notes
"2. User-Experience Design",https://w3c.github.io/sustyweb/#x2-user-experience-design
"2.1 Undertake Systemic Impacts Mapping",https://w3c.github.io/sustyweb/#x2-1-undertake-systemic-impacts-mapping,Medium,Medium
"Success Criterion - Patterns For Efficiency",https://w3c.github.io/sustyweb/#success-criterion-patterns-for-efficiency,,,"Make your user-journey (when browsing an accessed website or service) as smooth as possible. User-research is key, as is building on established design patterns which people already understand."
"Success Criterion - Distraction-Free Design",https://w3c.github.io/sustyweb/#success-criterion-distraction-free-design,,,"Visitors can complete tasks without distractions or non-essential features getting in the way."
"Success Criterion - Eliminate The Non-Essential",https://w3c.github.io/sustyweb/#success-criterion-eliminate-the-non-essential,,,"Visitors see only information that is relevant to their experience, without non-essential information being displayed on the screen."
"Success Criterion - User-Initiated Actionable Content",https://w3c.github.io/sustyweb/#success-criterion-user-initiated-actionable-content,,,"Ensure that actionable information such as pop-up or modal windows can only be initiated by the visitor."
"2.7 Avoid Unnecessary or an Overabundance of Assets",https://w3c.github.io/sustyweb/#x2-7-avoid-unnecessary-or-an-overabundance-of-assets,High,Medium
"Success Criterion - Decorative Design",https://w3c.github.io/sustyweb/#success-criterion-decorative-design,,,"Decorative design is used only when it improves the user-experience, and unnecessary assets or ones that fail to benefit the visitor or sustainability are removed (or rendered optional and disabled by default)."
"2.8 Ensure Navigation and Way-Finding Are Well-Structured",https://w3c.github.io/sustyweb/#x2-8-ensure-navigation-and-way-finding-are-well-structured,Low,Low
"Success Criterion - Navigation And Search",https://w3c.github.io/sustyweb/#success-criterion-navigation-and-search,,,"Provide an accessible, easy-to-use navigation menu with search features that help visitors easily find what they need."
"Success Criterion - Navigable Sitemaps",https://w3c.github.io/sustyweb/#success-criterion-navigable-sitemaps,,,"Implement an efficient (human-readable) sitemap that is organized and regularly updated helps search engines better index website content, which helps visitors more quickly find what they are looking for."
"Success Criterion - New Content",https://w3c.github.io/sustyweb/#success-criterion-new-content,,,"Provide a way for visitors to find out about new content and services."
"2.9 Respect the Visitor's Attention",https://w3c.github.io/sustyweb/#x2-9-respect-the-visitor-s-attention,Medium,Low
"Success Criterion - Respecting Attention",https://w3c.github.io/sustyweb/#success-criterion-respecting-attention,,,"Respect a visitor's attention by allowing them to easily control how (and when) they receive information."
"Success Criterion - Avoid Distraction",https://w3c.github.io/sustyweb/#success-criterion-avoid-distraction,,,"Prioritize features that don't distract people or unnecessarily lengthen the time they spend using the product or service."
"Success Criterion - Avoid Attention-keeping",https://w3c.github.io/sustyweb/#success-criterion-avoid-attention-keeping,,,"Avoid using infinite scroll or related attention-keeping tactics."
"2.10 Use Recognized Design Patterns",https://w3c.github.io/sustyweb/#x2-10-use-recognized-design-patterns,Medium,Low
"Success Criterion - Design Patterns",https://w3c.github.io/sustyweb/#success-criterion-design-patterns,,,"Provide only essential components visible at the time they are needed. Where appropriate, interfaces should deploy visual styles (patterns) that are easily recognized and used."
"2.11 Avoid Manipulative Patterns",https://w3c.github.io/sustyweb/#x2-11-avoid-manipulative-patterns,High,Medium
"Success Criterion - Dark and Deceptive Design Patterns",https://w3c.github.io/sustyweb/#success-criterion-dark-and-deceptive-design-patterns,,,"Avoid what are commonly known as dark patterns, deceptive design, or unethical coding techniques, which manipulate visitors into taking actions not necessarily in their best interest (anti-right click, no-copy, requiring an account to purchase, etc)."
"Success Criterion - Using Advertisements",https://w3c.github.io/sustyweb/#success-criterion-using-advertisements,,,"Advertisements and sponsorships are both ethical and clearly identified with the product or service, only presenting them when they provide real economic and ethical value and don't diminish a visitor's experience."
"Success Criterion - Page Tracking",https://w3c.github.io/sustyweb/#success-criterion-page-tracking,,,"Remove unused and unconsented page tracking."
"2.12 Document and Share Project Outputs",https://w3c.github.io/sustyweb/#x2-12-document-and-share-project-outputs,Medium,High
"Success Criterion - Deliverables Reusability",https://w3c.github.io/sustyweb/#success-criterion-deliverables-reusability,,,"The deliverables output, including documentation, are used upstream of the project and produced in ways that will allow it to be reused in subsequent projects."
"Success Criterion - Deliverables Documentation",https://w3c.github.io/sustyweb/#success-criterion-deliverables-documentation,,,"Design functionality and technical specifications are documented so that deliverables are comprehensible by the project team and transferable to the development team."
"2.13 Use a Design System To Prioritize Interface Consistency",https://w3c.github.io/sustyweb/#x2-13-use-a-design-system-to-prioritize-interface-consistency,Low,Medium
"Success Criterion - Design System",https://w3c.github.io/sustyweb/#success-criterion-design-system,,,"Employ a design system based on web standards and recognizable patterns to mutualize interface components and provide a consistent experience for visitors."
"2.14 Write With Purpose, in an Accessible, Easy To Understand Format",https://w3c.github.io/sustyweb/#x2-14-write-with-purpose-in-an-accessible-easy-to-understand-format,Low,Low
"Success Criterion - Write Clearly",https://w3c.github.io/sustyweb/#success-criterion-write-clearly,,,"Write clearly using plain, inclusive language delivered at an easy-to-understand reading level considering accessibility and internationalization inclusions as required (for example, dyslexia)."
"Success Criterion - Content Formatting",https://w3c.github.io/sustyweb/#success-criterion-content-formatting,,,"Deliver content formatted in ways that support how people read online, including a clear document structure, visual hierarchy, headings, bulleted lists, line spacing, and so on."
"Success Criterion - Search Engine Optimization (SEO)",https://w3c.github.io/sustyweb/#success-criterion-search-engine-optimization-seo,,,"Prioritize SEO at early design stages and throughout a product or service's lifecycle to improve content findability."
"2.15 Take a More Sustainable Approach to Image Assets",https://w3c.github.io/sustyweb/#x2-15-take-a-more-sustainable-approach-to-image-assets,High,Low
"Success Criterion - Need For Images",https://w3c.github.io/sustyweb/#success-criterion-need-for-images,,,"Assess the need for images considering the quantity, format, and size necessary for implementation."
"Success Criterion - Optimize Images",https://w3c.github.io/sustyweb/#success-criterion-optimize-images,,,"Resize, optimize and compress each image (outside the browser), offering different sizes (for each image) for different screen resolutions."
"Success Criterion - Lazy Loading",https://w3c.github.io/sustyweb/#success-criterion-lazy-loading,,,"Provide Lazy Loading to ensure image assets only loads when they are required."
"Success Criterion - Sizing And Deactivation",https://w3c.github.io/sustyweb/#success-criterion-sizing-and-deactivation,,,"Let the visitor select the display size, and provide the option to deactivate images."
"Success Criterion - Management And Usage",https://w3c.github.io/sustyweb/#success-criterion-management-and-usage,,,"Set up a media management and use policy to reduce the overall impact of images, with criteria for media compression and file formats."
"2.16 Take a More Sustainable Approach to Media Assets",https://w3c.github.io/sustyweb/#x2-16-take-a-more-sustainable-approach-to-media-assets,High,Medium
"Success Criterion - Need For Media",https://w3c.github.io/sustyweb/#success-criterion-need-for-media,,,"Assess the need for video or sound usage (including only when they add visitor value), and ban non-informative media (background media) including autoplaying functionality."
"Success Criterion - Optimize Media",https://w3c.github.io/sustyweb/#success-criterion-optimize-media,,,"Choose the right media to display by compressing according to the visitor's requirements, selecting the appropriate format, ensuring it works across browsers, and avoiding embedded player plugins."
"Success Criterion - Lazy Loading",https://w3c.github.io/sustyweb/#success-criterion-lazy-loading-0,,,"Media requiring a lot of data to be downloaded on the client side (including the media itself) must be loaded via a facade (a non-functional, static, representational element)."
"Success Criterion - Labels And Choice",https://w3c.github.io/sustyweb/#success-criterion-labels-and-choice,,,"Increase visitor awareness and control by informing them of the length, format, and weight of the media; allowing media deactivation, and giving a choice of resolutions; all while providing alternative resolutions and formats."
"Success Criterion - Management And Usage",https://w3c.github.io/sustyweb/#success-criterion-management-and-usage-0,,,"Set up a media management and use policy to reduce the overall impact of audio and video, with criteria for media compression and file formats."
"2.17 Take a More Sustainable Approach to Animation",https://w3c.github.io/sustyweb/#x2-17-take-a-more-sustainable-approach-to-animation,Medium,Low
"Success Criterion - Need For Animation",https://w3c.github.io/sustyweb/#success-criterion-need-for-animation,,,"Use animation only when it adds value to a visitor's experience, and not for decorative elements."
"Success Criterion - Avoid Overburdening",https://w3c.github.io/sustyweb/#success-criterion-avoid-overburdening,,,"Progressively display an appropriate quantity of animation so as not to overburden the visitor or diminish expected device behavior."
"Success Criterion - Control Animation",https://w3c.github.io/sustyweb/#success-criterion-control-animation,,,"Allow visitors to start, stop, pause or otherwise control animated content."
"2.18 Take a More Sustainable Approach to Typefaces",https://w3c.github.io/sustyweb/#x2-18-take-a-more-sustainable-approach-to-typefaces,Medium,Low
"Success Criterion - Default Typefaces",https://w3c.github.io/sustyweb/#success-criterion-default-typefaces,,,"Use standard system-level (web-safe / pre-installed) fonts as much as possible."
"Success Criterion - Font Optimization",https://w3c.github.io/sustyweb/#success-criterion-font-optimization,,,"Ensure the number of fonts, and the variants within typefaces (such as weight and characters) are limited within a project, using the most performant file format available."
"2.19 Provide Suitable Alternatives to Web Assets",https://w3c.github.io/sustyweb/#x2-19-provide-suitable-alternatives-to-web-assets,Medium,Medium
"Success Criterion - Open Formats",https://w3c.github.io/sustyweb/#success-criterion-open-formats,,,"All proprietary file formats (such as PDF) should also be offered in HTML for accessibility and to ensure future availability."
"Success Criterion - Font Subsetting",https://w3c.github.io/sustyweb/#success-criterion-font-subsetting,,,"All custom typefaces (using font-display) should be subsetted and offered as part of a font stack with a system font as a backup."
"Success Criterion - Alternative Text",https://w3c.github.io/sustyweb/#success-criterion-alternative-text,,,"All images should provide meaningful alternative text for screen reader users (or when images fail to load) accessibility."
"Success Criterion - Audio Alternatives",https://w3c.github.io/sustyweb/#success-criterion-audio-alternatives,,,"Audio should provide text transcripts of conversations as an alternative to playing the media."
"Success Criterion - Video Alternatives",https://w3c.github.io/sustyweb/#success-criterion-video-alternatives,,,"Video should provide text transcripts (at minimum), subtitles (using WebVTT), and for accessibility best practice, offer closed captions and sign language options."
"2.20 Provide Accessible, Usable, Minimal Web Forms",https://w3c.github.io/sustyweb/#x2-20-provide-accessible-usable-minimal-web-forms,Low,Low
"Success Criterion - Form Simplicity",https://w3c.github.io/sustyweb/#success-criterion-form-simplicity,,,"Assess the need for forms and reduce form content to the bare minimum necessary to meet the visitor's needs and the organization's business goals. Clearly communicate why a form is necessary, what its value proposition is, how many steps it will take to complete, and what an organization will do with collected data (informed consent)."
"Success Criterion - Form Functionality",https://w3c.github.io/sustyweb/#success-criterion-form-functionality,,,"Avoid auto-completion / auto-suggest if it would prove unhelpful (to conserve bandwidth) whilst allowing autofill for ease of repeat entry (including the use of helpful tooling such as password managers)."
"2.21 Support Non-Graphic Ways To Interact With Content",https://w3c.github.io/sustyweb/#x2-21-support-non-graphic-ways-to-interact-with-content,Low,Medium
"Success Criterion - Alternative Interactions",https://w3c.github.io/sustyweb/#success-criterion-alternative-interactions,,,"Support speech browsing and other non-graphical ways to interact with content that provide alternatives to a visual interface."
"2.22 Provide Useful Notifications To Improve The Visitor's Journey",https://w3c.github.io/sustyweb/#x2-22-provide-useful-notifications-to-improve-the-visitor-s-journey,Low,Low
"Success Criterion - Notification Justification",https://w3c.github.io/sustyweb/#success-criterion-notification-justification,,,"Remove non-essential notifications while justifying and reducing the practice of e-mailing or text messaging to what is strictly necessary. Useful notifications (such as alerts for new content) should be used with care and restraint."
"Success Criterion - Notification Control",https://w3c.github.io/sustyweb/#success-criterion-notification-control,,,"Let the visitor control notifications (for example through the browser, SMS, or by email) and adjust messaging preferences, and the option to unsubscribe, logout, and close an account should be available and visible."
"Success Criterion - Prompts And Responses",https://w3c.github.io/sustyweb/#success-criterion-prompts-and-responses,,,"Help visitors manage expectations by clearly explaining the result of a potential input through helpful prompts and messages that explain errors, next steps, and so on."
"2.23 Reduce the Impact of Downloadable or Physical Documents",https://w3c.github.io/sustyweb/#x2-23-reduce-the-impact-of-downloadable-or-physical-documents,Medium,Low
"Success Criterion - Printing Documents",https://w3c.github.io/sustyweb/#success-criterion-printing-documents,,,"Design documents to limit the printing impact. If the production of paper documents is essential, it should be designed to limit its impact to the lowest possible. Create a CSS Print stylesheet and test it with different types of content. Ensure PDF printing is encouraged over paper-based storage."
"Success Criterion - Optimize Documents",https://w3c.github.io/sustyweb/#success-criterion-optimize-documents,,,"Offer optimized, compressed documents in a variety of accessible file formats."
"Success Criterion - Optimize Delivery",https://w3c.github.io/sustyweb/#success-criterion-optimize-delivery,,,"If a document is likely to be re-used, generate the document once on the server-side (preferably on a cookie-free domain) rather than forcing the effort to be duplicated."
"Success Criterion - Labels And Choice",https://w3c.github.io/sustyweb/#success-criterion-labels-and-choice-0,,,"Clearly display the document name, a summary, the file size, and the format, allowing the visitor a choice if possible of both the format, and the language (if not the same as the web page). Furthermore, be sure to avoid embedding the document within Web pages (provide a direct link to download or view within the browser instead)."
"2.24 Create a Stakeholder-Focused Testing & Prototyping Policy",https://w3c.github.io/sustyweb/#x2-24-create-a-stakeholder-focused-testing-prototyping-policy,High,Medium
"Success Criterion - New Features And Perspectives",https://w3c.github.io/sustyweb/#success-criterion-new-features-and-perspectives,,,"The organization has outlined processes it uses to prototype and test new features, product ideas, and user-interface components when applicable with real users who represent various stakeholder perspectives, including people with slow connection, with disabilities, with difficulties using digital services and so on."
"Success Criterion - Resourcing And Viability",https://w3c.github.io/sustyweb/#success-criterion-resourcing-and-viability,,,"The organization has appropriately resourced these processes to support its long-term product viability."
"Success Criterion - Training And Onboarding",https://w3c.github.io/sustyweb/#success-criterion-training-and-onboarding,,,"The organization has training materials to onboard new product team members to these practices."
"Success Criterion - Testing And Validation",https://w3c.github.io/sustyweb/#success-criterion-testing-and-validation,,,"The organization regularly conducts extensive testing and user interviews to validate whether the released features are meeting both business goals and visitor needs."
"2.25 Conduct Regular Audits, Regression, and Non-Regression Tests",https://w3c.github.io/sustyweb/#x2-25-conduct-regular-audits-regression-and-non-regression-tests,Medium,Medium
"Success Criterion - Regular Issue Testing",https://w3c.github.io/sustyweb/#success-criterion-regular-issue-testing,,,"Check your codebase for bugs, identify any performance issues, and account for accessibility or security problems at either monthly or quarterly timeframes (depending on your scheduling allowance)."
"Success Criterion - Non-Regression Tests",https://w3c.github.io/sustyweb/#success-criterion-non-regression-tests,,,"Non-regression tests are implemented for all important functionality."
"Success Criterion - Regression Tests",https://w3c.github.io/sustyweb/#success-criterion-regression-tests,,,"Incorporate regression testing into each release cycle to ensure that new features don't introduce bugs or otherwise conflict with existing software functionality."
"2.26 Analyze The Performance Of The Visitor Journey",https://w3c.github.io/sustyweb/#x2-26-analyze-the-performance-of-the-visitor-journey,Medium,Low
"Success Criterion - Measurement And Compliance",https://w3c.github.io/sustyweb/#success-criterion-measurement-and-compliance,,,"Only collect the data required to provide a streamlined and effective user-journey, put policies in place to ensure strict adherence, and comply with relevant accessibility policies and privacy laws, such as the General Data Protection Regulation (GDPR)."
"2.27 Incorporate Value Testing Into Each Major Release-Cycle",https://w3c.github.io/sustyweb/#x2-27-incorporate-value-testing-into-each-major-release-cycle,Medium,Low
"Success Criterion - Usage Changes",https://w3c.github.io/sustyweb/#success-criterion-usage-changes,,,"Consider visitor feedback and monitor adoption and churn rates of product or service features, incorporating insights into future releases."
"2.28 Incorporate Usability Testing Into Each Minor Release-Cycle",https://w3c.github.io/sustyweb/#x2-28-incorporate-usability-testing-into-each-minor-release-cycle,Medium,Medium
"Success Criterion - Usability Testing",https://w3c.github.io/sustyweb/#success-criterion-usability-testing,,,"Incorporate usability testing into product cycles and measure the impact of these tests for future releases."
"2.29 Incorporate Compatibility Testing Into Each Release-Cycle",https://w3c.github.io/sustyweb/#x2-29-incorporate-compatibility-testing-into-each-release-cycle,High,Medium
"Success Criterion - Compatibility Policy",https://w3c.github.io/sustyweb/#success-criterion-compatibility-policy,,,"Establish a policy for compatibility with obsolete devices and software versions, listing the supported devices brands, operating systems, and browsers (including versions)."
"Success Criterion - Maintaining Compatibility",https://w3c.github.io/sustyweb/#success-criterion-maintaining-compatibility,,,"Avoid planned obsolescence in software updates, striving to maintain compatibility for as long as possible and clearly communicating whether an update is evolutionary (large updates that can significantly reduce performance) or corrective (smaller updates that fix bugs or improve security)."
"Success Criterion - Frequent Testing",https://w3c.github.io/sustyweb/#success-criterion-frequent-testing,,,"Regularly test the product or service with weak connections, old browsers, and on devices older than five years to ensure compatibility."
"Success Criterion - Mobile Friendly",https://w3c.github.io/sustyweb/#success-criterion-mobile-friendly,,,"Prototype your interfaces using mobile-first methods to ensure progressive enhancement, content prioritization, and improved accessibility."
"Success Criterion - Progressive Web Application's (PWAs)",https://w3c.github.io/sustyweb/#success-criterion-progressive-web-application-s-pwas,,,"Consider whether a PWA will be more sustainable and compatible over a native mobile application."
"3. Web Development",https://w3c.github.io/sustyweb/#x3-web-development
"3.1 Identify Relevant Technical Indicators",https://w3c.github.io/sustyweb/#x3-1-identify-relevant-technical-indicators,Medium,Medium
"Success Criterion - Performance Goals",https://w3c.github.io/sustyweb/#success-criterion-performance-goals,,,"Set performance goals which impact the environment and performance of the service, for example HTTP requests, or the amount of DOM elements which need to be rendered."
"3.2 Minify Your HTML, CSS, and JavaScript",https://w3c.github.io/sustyweb/#x3-2-minify-your-html-css-and-javascript,Low,Low
"Success Criterion - Minify Code",https://w3c.github.io/sustyweb/#success-criterion-minify-code,,,"All source code is minified upon compilation (including inline code)."
"3.3 Use Code-Splitting Within Projects",https://w3c.github.io/sustyweb/#x3-3-use-code-splitting-within-projects,Medium,Low
"Success Criterion - Code Splitting",https://w3c.github.io/sustyweb/#success-criterion-code-splitting,,,"Breakdown bandwidth-heavy components into segments that can be loaded as required."
"3.4 Apply Tree Shaking To Code",https://w3c.github.io/sustyweb/#x3-4-apply-tree-shaking-to-code,Medium,Medium
"Success Criterion - Remove Redundancy",https://w3c.github.io/sustyweb/#success-criterion-remove-redundancy,,,"Identify and eliminate unused and dead code within CSS and JavaScript."
"3.5 Ensure Your Solutions Are Accessible",https://w3c.github.io/sustyweb/#x3-5-ensure-your-solutions-are-accessible,High,Medium
"Success Criterion - Accessibility Compliance",https://w3c.github.io/sustyweb/#success-criterion-accessibility-compliance,,,"Your website or application must conform to WCAG (at the necessary level), plus extend beyond to obey relevant laws and meet additional visitor accessibility requirements. Building inclusively means that people with permanent, temporary or situational disabilities will be able to more quickly find what they are looking for, and not have to spend extra time searching for a way to use your product or service."
"Success Criterion - Enhancing For Accessibility",https://w3c.github.io/sustyweb/#success-criterion-enhancing-for-accessibility,,,"Enhance your website or application with Accessible Rich Internet Applications (ARIA) ONLY if applicable or necessary, and accessibility enhancing features when useful or beneficial."
"Success Criterion - Electronic Inequalities",https://w3c.github.io/sustyweb/#success-criterion-electronic-inequalities,,,"Deploy solutions which fight against electronic inequalities in products and services."
"3.6 Avoid Code Duplication",https://w3c.github.io/sustyweb/#x3-6-avoid-code-duplication,Medium,Medium
"Success Criterion - Remove Or Simplify",https://w3c.github.io/sustyweb/#success-criterion-remove-or-simplify,,,"Don't be afraid to remove or simplify (through rewriting for performance) your code to focus on essential features and have a cleaner, less redundant product (and codebase)."
"Success Criterion - Iteration Over Recreation",https://w3c.github.io/sustyweb/#success-criterion-iteration-over-recreation,,,"Improve (iterate) an existing creation rather than constantly redeveloping and redesigning products from scratch (duplication of coding effort) if possible to reduce visitor learning burden and developer impact."
"Success Criterion - Organize Code Arrangement",https://w3c.github.io/sustyweb/#success-criterion-organize-code-arrangement,,,"Within CSS and JavaScript, use methodologies (like BEM) and systems like DRY and WET to optimize the arrangement and output of your source code."
"3.7 Rigorously Assess Third-Party Services",https://w3c.github.io/sustyweb/#x3-7-rigorously-assess-third-party-services,High,Medium
"Success Criterion - Assess Third-Parties",https://w3c.github.io/sustyweb/#success-criterion-assess-third-parties,,,"Assess third-party services (including plugins, widgets, feeds, maps, carousels, etc) as early in the ideation or creation process as possible and use as few as possible to reduce the product or service's overall ecological impact, including Scope 3 emissions."
"Success Criterion - Third-party Implementation",https://w3c.github.io/sustyweb/#success-criterion-third-party-implementation,,,"Third-party content (including plugins, widgets, feeds, maps, carousels, etc) should be placed behind a click-to-load delay screen (using the "import on interaction" pattern), while alternatives to automated solutions such as chatbots should be offered."
"Success Criterion - Libraries And Frameworks",https://w3c.github.io/sustyweb/#success-criterion-libraries-and-frameworks,,,"Large CSS libraries and JavaScript frameworks should only be used if a more performant alternative which achieves the same goal cannot be used instead."
"Success Criterion - Self-Hosting",https://w3c.github.io/sustyweb/#success-criterion-self-hosting,,,"Prioritize self-hosted content over embedded content from third-party services."
"Success Criterion - Avoiding Dependency",https://w3c.github.io/sustyweb/#success-criterion-avoiding-dependency,,,"Create your own clickable icons and widgets, rather than relying on third-party services to host or allow embedding within your product or service."
"3.8 Use HTML Elements Correctly",https://w3c.github.io/sustyweb/#x3-8-use-html-elements-correctly,Medium,Medium
"Success Criterion - Semantic Code",https://w3c.github.io/sustyweb/#success-criterion-semantic-code,,,"Ensure content is marked up semantically using the right HTML element for the right job."
"Success Criterion - Optional Features",https://w3c.github.io/sustyweb/#success-criterion-optional-features,,,"Consider removing optional HTML tags (which aren't required for rendering), attribute quotes, or attributes that are set to their default value."
"Success Criterion - Avoid Non-standard Code",https://w3c.github.io/sustyweb/#success-criterion-avoid-non-standard-code,,,"Avoid using non-standard elements or attributes."
"Success Criterion - Custom Code",https://w3c.github.io/sustyweb/#success-criterion-custom-code,,,"Only use custom elements or Web Components if you cannot utilize native HTML elements or if you need tightly regulated control over the implementation of design system components."
"3.9 Resolve Render Blocking Content",https://w3c.github.io/sustyweb/#x3-9-resolve-render-blocking-content,Medium,Low
"Success Criterion - Asynchronous Code",https://w3c.github.io/sustyweb/#success-criterion-asynchronous-code,,,"All external assets should be deferred or set to async (unless required) to avoid FOUC (Flash Of Unstyled Content)."
"Success Criterion - Priority Loading",https://w3c.github.io/sustyweb/#success-criterion-priority-loading,,,"If external resources are required on load, ensure their priorities (delivery route) are set correctly."
"3.10 Provide Code-Based Way-Finding Mechanisms",https://w3c.github.io/sustyweb/#x3-10-provide-code-based-way-finding-mechanisms,Low,Low
"Success Criterion - Metadata And Microdata",https://w3c.github.io/sustyweb/#success-criterion-metadata-and-microdata,,,"Optimize your metadata and microdata for search engines and social media."
"Success Criterion - Search Engines",https://w3c.github.io/sustyweb/#success-criterion-search-engines,,,"Assist search engines, while blocking any ill-intentioned robots and scripts."
"Success Criterion - Accessibility Aids",https://w3c.github.io/sustyweb/#success-criterion-accessibility-aids,,,"Offer accessibility and usability aids to find content, such as skip links and signposts."
"3.11 Validate Form Errors and External Input",https://w3c.github.io/sustyweb/#x3-11-validate-form-errors-and-external-input,Medium,Low
"Success Criterion - Error Validation",https://w3c.github.io/sustyweb/#success-criterion-error-validation,,,"Errors should be identified through live validation as well as upon submission."
"Success Criterion - Label Elements",https://w3c.github.io/sustyweb/#success-criterion-label-elements,,,"Required elements should be clearly identified and labeled (for the benefit of voice tools such as screen readers and virtual assistants), and optional elements (if unnecessary) removed."
"Success Criterion - Allow Paste",https://w3c.github.io/sustyweb/#success-criterion-allow-paste,,,"Always allow the pasting of content (including passwords) from external sources."
"3.12 Use Metadata Correctly",https://w3c.github.io/sustyweb/#x3-12-use-metadata-correctly,Medium,Low
"Success Criterion - Required Elements",https://w3c.github.io/sustyweb/#success-criterion-required-elements,,,"Include the required title element, plus any optional HTML head elements (such as link)."
"Success Criterion - Meta Tags",https://w3c.github.io/sustyweb/#success-criterion-meta-tags,,,"Include necessary meta tag references that search engines and social networks recognize, using a recognized name scheme such as Dublin Core Metadata Initiative (DCMI), Friend Of A Friend (FOAF), or RDFa."
"Success Criterion - Structured Data",https://w3c.github.io/sustyweb/#success-criterion-structured-data,,,"Embed Microdata, Structured Data (Schema), or Microformats within your pages."
"3.13 Adapt to User Preferences",https://w3c.github.io/sustyweb/#x3-13-adapt-to-user-preferences,Medium,Low
"Success Criterion - Media and Preference Queries",https://w3c.github.io/sustyweb/#success-criterion-media-and-preference-queries,,,"Apply the monochrome, prefers-contrast, prefers-color-scheme, prefers-reduced-data, and prefers-reduced-motion CSS preference queries if they will benefit your website or application. Also consider the print & scripting CSS media queries if they will improve the sustainability of your website."
"3.14 Develop a Mobile-First Layout",https://w3c.github.io/sustyweb/#x3-14-develop-a-mobile-first-layout,Medium,Low
"Success Criterion - Mobile-First",https://w3c.github.io/sustyweb/#success-criterion-mobile-first,,,"Allow a website or app to work on mobile devices primarily (testing with various connection speeds), expanding to accommodate larger displays thereafter (mobile-first). It is much more effective to do the hard work to ensure that it works well on a mobile device and then scale it up to larger interfaces."
